"package_name","release","release_downloads","url","hex_updated_at","hex_inserted_at","inserted_at"
"oas","0.1.0",32,"https://hex.pm/api/packages/oas/releases/0.1.0","2024-11-06T12:58:37.603Z","2024-11-06T12:58:34.981Z","2025-05-02T23:59:36.193Z"
"oas","0.2.0",32,"https://hex.pm/api/packages/oas/releases/0.2.0","2024-11-10T16:12:40.183Z","2024-11-10T16:12:37.312Z","2025-05-02T23:59:36.193Z"
"oas","0.2.1",32,"https://hex.pm/api/packages/oas/releases/0.2.1","2024-11-11T13:05:29.452Z","2024-11-11T13:05:26.090Z","2025-05-02T23:59:36.193Z"
"oas","1.0.0",36,"https://hex.pm/api/packages/oas/releases/1.0.0","2024-11-14T11:13:45.845Z","2024-11-14T11:13:43.076Z","2025-05-02T23:59:36.193Z"
"oas","1.0.1",36,"https://hex.pm/api/packages/oas/releases/1.0.1","2024-11-19T09:19:35.720Z","2024-11-19T09:19:32.876Z","2025-05-02T23:59:36.193Z"
"oas","1.0.2",63,"https://hex.pm/api/packages/oas/releases/1.0.2","2024-11-24T15:15:07.863Z","2024-11-24T15:15:05.077Z","2025-05-02T23:59:36.193Z"
"oas","1.0.3",39,"https://hex.pm/api/packages/oas/releases/1.0.3","2025-02-11T17:14:19.833Z","2025-02-11T17:14:14.851Z","2025-05-02T23:59:36.193Z"
"oas","2.0.0",14,"https://hex.pm/api/packages/oas/releases/2.0.0","2025-04-29T15:09:22.726Z","2025-04-29T15:09:16.735Z","2025-05-02T23:59:36.193Z"
"acrostic","1.0.0",24,"https://hex.pm/api/packages/acrostic/releases/1.0.0","2024-11-14T06:27:29.658Z","2024-11-14T06:27:24.754Z","2025-01-16T14:10:13.361Z"
"acrostic","1.1.0",22,"https://hex.pm/api/packages/acrostic/releases/1.1.0","2024-11-20T10:31:12.016Z","2024-11-20T10:31:08.785Z","2025-01-16T14:10:13.361Z"
"acrostic","1.2.0",28,"https://hex.pm/api/packages/acrostic/releases/1.2.0","2024-11-23T00:39:38.025Z","2024-11-23T00:39:34.191Z","2025-01-16T14:10:13.361Z"
"acrostic","1.2.1",18,"https://hex.pm/api/packages/acrostic/releases/1.2.1","2025-01-13T16:53:08.169Z","2025-01-13T16:53:03.331Z","2025-01-16T14:10:13.361Z"
"act","0.1.0",53,"https://hex.pm/api/packages/act/releases/0.1.0","2024-03-24T19:41:10.884Z","2024-03-24T19:41:08.503Z","2024-07-02T23:44:28.001Z"
"act","0.2.0",58,"https://hex.pm/api/packages/act/releases/0.2.0","2024-03-25T23:36:04.237Z","2024-03-25T23:36:01.680Z","2024-07-02T23:44:28.001Z"
"act","0.2.1",49,"https://hex.pm/api/packages/act/releases/0.2.1","2024-03-31T21:18:07.983Z","2024-03-31T21:18:05.714Z","2024-07-02T23:44:28.001Z"
"act","0.3.0",96,"https://hex.pm/api/packages/act/releases/0.3.0","2024-04-18T16:50:56.951Z","2024-04-18T16:50:54.351Z","2024-07-02T23:44:28.001Z"
"act","0.4.0",60,"https://hex.pm/api/packages/act/releases/0.4.0","2024-06-06T12:14:12.860Z","2024-06-06T12:14:10.150Z","2024-07-02T23:44:28.001Z"
"adglent","1.0.0",215,"https://hex.pm/api/packages/adglent/releases/1.0.0","2023-11-16T20:08:57.288Z","2023-11-16T20:08:54.997Z","2024-11-11T11:38:11.945Z"
"adglent","1.0.0-rc1",238,"https://hex.pm/api/packages/adglent/releases/1.0.0-rc1","2023-10-28T19:49:22.872Z","2023-10-28T19:49:20.595Z","2024-11-11T11:38:11.945Z"
"adglent","1.0.0-rc3",213,"https://hex.pm/api/packages/adglent/releases/1.0.0-rc3","2023-11-14T20:36:57.216Z","2023-11-14T20:36:55.022Z","2024-11-11T11:38:11.945Z"
"adglent","1.0.0-rc4",217,"https://hex.pm/api/packages/adglent/releases/1.0.0-rc4","2023-11-14T20:49:58.041Z","2023-11-14T20:49:55.881Z","2024-11-11T11:38:11.945Z"
"adglent","1.0.0-rc5",217,"https://hex.pm/api/packages/adglent/releases/1.0.0-rc5","2023-11-15T18:04:32.537Z","2023-11-15T18:04:30.345Z","2024-11-11T11:38:11.945Z"
"adglent","1.0.1",215,"https://hex.pm/api/packages/adglent/releases/1.0.1","2023-11-16T20:35:31.060Z","2023-11-16T20:35:28.668Z","2024-11-11T11:38:11.945Z"
"adglent","1.0.2",213,"https://hex.pm/api/packages/adglent/releases/1.0.2","2023-11-17T07:19:41.400Z","2023-11-17T07:19:39.348Z","2024-11-11T11:38:11.945Z"
"adglent","1.1.0",213,"https://hex.pm/api/packages/adglent/releases/1.1.0","2023-11-18T19:15:01.422Z","2023-11-18T19:14:59.072Z","2024-11-11T11:38:11.945Z"
"adglent","1.2.0",280,"https://hex.pm/api/packages/adglent/releases/1.2.0","2023-11-21T07:38:58.448Z","2023-11-21T07:38:56.169Z","2024-11-11T11:38:11.945Z"
"adglent","1.3.0",18,"https://hex.pm/api/packages/adglent/releases/1.3.0","2024-11-08T07:39:02.181Z","2024-11-08T07:38:59.251Z","2024-11-11T11:38:11.945Z"
"ag_html","0.1.0",103,"https://hex.pm/api/packages/ag_html/releases/0.1.0","2022-11-26T15:39:40.356Z","2022-11-26T15:39:39.647Z","2024-07-03T02:01:23.361Z"
"aham","1.0.0",14,"https://hex.pm/api/packages/aham/releases/1.0.0","2024-07-22T11:55:58.310Z","2024-07-22T11:55:55.930Z","2024-07-25T06:26:39.007Z"
"akaridb","1.0.0",10,"https://hex.pm/api/packages/akaridb/releases/1.0.0","2024-08-11T05:06:13.000Z","2024-08-11T05:06:09.569Z","2024-08-13T20:33:55.666Z"
"alpaca","1.0.1",0,"https://hex.pm/api/packages/alpaca/releases/1.0.1","2024-07-11T12:39:43.671Z","2024-07-11T12:39:40.690Z","2024-07-11T15:48:13.041Z"
"amber","0.1.0",22,"https://hex.pm/api/packages/amber/releases/0.1.0","2024-10-21T01:48:55.163Z","2024-10-21T01:48:52.578Z","2025-01-04T09:09:11.342Z"
"amber","0.2.0",22,"https://hex.pm/api/packages/amber/releases/0.2.0","2024-10-24T17:22:00.323Z","2024-10-24T17:21:57.624Z","2025-01-04T09:09:11.342Z"
"amber","0.2.0-rc1",24,"https://hex.pm/api/packages/amber/releases/0.2.0-rc1","2024-10-24T16:56:55.307Z","2024-10-24T16:56:52.609Z","2025-01-04T09:09:11.342Z"
"amber","0.2.0-rc2",24,"https://hex.pm/api/packages/amber/releases/0.2.0-rc2","2024-10-24T17:17:07.730Z","2024-10-24T17:17:05.019Z","2025-01-04T09:09:11.342Z"
"amber","0.3.0",22,"https://hex.pm/api/packages/amber/releases/0.3.0","2024-11-03T01:57:55.031Z","2024-11-03T01:57:52.345Z","2025-01-04T09:09:11.342Z"
"amber","0.4.0",22,"https://hex.pm/api/packages/amber/releases/0.4.0","2024-12-30T20:03:42.532Z","2024-12-30T20:03:39.666Z","2025-01-04T09:09:11.342Z"
"amber","0.5.0",20,"https://hex.pm/api/packages/amber/releases/0.5.0","2024-12-30T23:14:47.863Z","2024-12-30T23:14:45.237Z","2025-01-04T09:09:11.342Z"
"amf0","0.1.0",77,"https://hex.pm/api/packages/amf0/releases/0.1.0","2023-10-31T18:41:48.609Z","2023-10-31T18:41:48.609Z","2024-07-03T01:08:19.931Z"
"amnesiac","1.0.0",24,"https://hex.pm/api/packages/amnesiac/releases/1.0.0","2024-06-14T19:53:22.043Z","2024-06-14T19:53:19.501Z","2024-07-02T23:38:08.987Z"
"amnesiac","1.1.0",34,"https://hex.pm/api/packages/amnesiac/releases/1.1.0","2024-06-15T16:06:58.508Z","2024-06-15T16:06:55.957Z","2024-07-02T23:38:08.987Z"
"ansel","1.0.0",18,"https://hex.pm/api/packages/ansel/releases/1.0.0","2024-10-14T17:51:16.601Z","2024-10-14T17:51:14.235Z","2024-10-17T16:55:27.177Z"
"antigone","1.0.0",110,"https://hex.pm/api/packages/antigone/releases/1.0.0","2024-03-25T22:27:59.257Z","2024-03-25T22:27:56.851Z","2024-07-03T00:07:38.630Z"
"antigone","1.1.0",171,"https://hex.pm/api/packages/antigone/releases/1.1.0","2024-04-18T17:37:07.530Z","2024-04-18T17:37:04.984Z","2024-07-03T00:07:38.630Z"
"aoc_2024","1.0.0",18,"https://hex.pm/api/packages/aoc_2024/releases/1.0.0","2024-12-21T19:04:23.897Z","2024-12-21T19:04:21.104Z","2024-12-26T09:24:26.007Z"
"aonyx_graph","1.0.0-preview.0",20,"https://hex.pm/api/packages/aonyx_graph/releases/1.0.0-preview.0","2025-04-20T22:19:43.270Z","2025-04-20T22:19:40.916Z","2025-05-02T23:56:37.637Z"
"aonyx_graph","1.0.1",34,"https://hex.pm/api/packages/aonyx_graph/releases/1.0.1","2025-04-21T15:49:02.394Z","2025-04-21T15:01:17.226Z","2025-05-02T23:56:37.637Z"
"aonyx_graph","1.0.1-preview.3",20,"https://hex.pm/api/packages/aonyx_graph/releases/1.0.1-preview.3","2025-04-21T16:04:33.800Z","2025-04-21T09:57:28.644Z","2025-05-02T23:56:37.637Z"
"aonyx_graph","1.0.2",20,"https://hex.pm/api/packages/aonyx_graph/releases/1.0.2","2025-04-22T20:36:36.947Z","2025-04-22T20:36:34.346Z","2025-05-02T23:56:37.637Z"
"aonyx_graph","1.0.3",18,"https://hex.pm/api/packages/aonyx_graph/releases/1.0.3","2025-04-25T20:50:45.151Z","2025-04-25T20:50:42.813Z","2025-05-02T23:56:37.637Z"
"aonyx_graph","1.1.0",0,"https://hex.pm/api/packages/aonyx_graph/releases/1.1.0","2025-05-02T18:33:22.246Z","2025-05-02T18:33:18.927Z","2025-05-02T23:56:37.637Z"
"apollo","0.1.0",54,"https://hex.pm/api/packages/apollo/releases/0.1.0","2023-08-11T22:07:21.732Z","2023-08-11T22:07:19.430Z","2024-07-03T01:22:40.345Z"
"apollo","0.1.1",71,"https://hex.pm/api/packages/apollo/releases/0.1.1","2023-08-11T23:35:20.272Z","2023-08-11T23:35:17.620Z","2024-07-03T01:22:40.345Z"
"aragorn2","0.0.1",27,"https://hex.pm/api/packages/aragorn2/releases/0.0.1","2024-05-27T21:07:09.964Z","2024-05-27T21:07:07.427Z","2024-07-02T23:48:37.792Z"
"aragorn2","0.0.2",28,"https://hex.pm/api/packages/aragorn2/releases/0.0.2","2024-05-28T15:20:05.382Z","2024-05-28T15:20:03.036Z","2024-07-02T23:48:37.792Z"
"aragorn2","0.1.0",66,"https://hex.pm/api/packages/aragorn2/releases/0.1.0","2024-05-30T03:58:24.538Z","2024-05-30T03:58:21.603Z","2024-07-02T23:48:37.792Z"
"arcana_signals","0.0.1",39,"https://hex.pm/api/packages/arcana_signals/releases/0.0.1","2024-03-16T22:52:27.232Z","2024-03-16T22:52:24.995Z","2024-07-03T00:18:18.905Z"
"arcana_signals","0.0.2",45,"https://hex.pm/api/packages/arcana_signals/releases/0.0.2","2024-03-27T21:51:48.604Z","2024-03-27T21:51:46.540Z","2024-07-03T00:18:18.905Z"
"arctic","1.0.0",50,"https://hex.pm/api/packages/arctic/releases/1.0.0","2024-08-03T11:44:55.996Z","2024-08-03T11:44:52.625Z","2025-04-09T08:51:48.659Z"
"arctic","1.0.1",57,"https://hex.pm/api/packages/arctic/releases/1.0.1","2024-08-04T03:41:23.237Z","2024-08-04T03:41:20.466Z","2025-04-09T08:51:48.659Z"
"arctic","10.0.0",48,"https://hex.pm/api/packages/arctic/releases/10.0.0","2024-09-12T00:16:22.423Z","2024-09-12T00:16:19.650Z","2025-04-09T08:51:48.658Z"
"arctic","10.0.0-alpha",64,"https://hex.pm/api/packages/arctic/releases/10.0.0-alpha","2024-08-28T22:33:05.983Z","2024-08-28T22:33:03.063Z","2025-04-09T08:51:48.658Z"
"arctic","10.0.0-alpha2",52,"https://hex.pm/api/packages/arctic/releases/10.0.0-alpha2","2024-09-01T19:03:08.301Z","2024-09-01T19:03:04.923Z","2025-04-09T08:51:48.658Z"
"arctic","10.0.1",42,"https://hex.pm/api/packages/arctic/releases/10.0.1","2024-10-11T23:58:21.569Z","2024-10-11T23:58:19.101Z","2025-04-09T08:51:48.658Z"
"arctic","11.0.0",63,"https://hex.pm/api/packages/arctic/releases/11.0.0","2024-10-21T01:24:00.887Z","2024-10-21T01:23:58.018Z","2025-04-09T08:51:48.658Z"
"arctic","11.0.0-alpha",38,"https://hex.pm/api/packages/arctic/releases/11.0.0-alpha","2024-10-20T23:09:53.000Z","2024-10-20T23:09:50.012Z","2025-04-09T08:51:48.658Z"
"arctic","11.0.0-alpha2",38,"https://hex.pm/api/packages/arctic/releases/11.0.0-alpha2","2024-10-20T23:20:15.963Z","2024-10-20T23:20:13.053Z","2025-04-09T08:51:48.658Z"
"arctic","11.0.0-alpha3",38,"https://hex.pm/api/packages/arctic/releases/11.0.0-alpha3","2024-10-20T23:33:41.634Z","2024-10-20T23:33:38.890Z","2025-04-09T08:51:48.658Z"
"arctic","11.0.0-alpha4",40,"https://hex.pm/api/packages/arctic/releases/11.0.0-alpha4","2024-10-20T23:41:21.242Z","2024-10-20T23:41:18.200Z","2025-04-09T08:51:48.658Z"
"arctic","11.0.0-alpha5",48,"https://hex.pm/api/packages/arctic/releases/11.0.0-alpha5","2024-10-21T00:15:56.838Z","2024-10-21T00:15:53.955Z","2025-04-09T08:51:48.658Z"
