"package_name","hex_url","description","licenses","repository_url","owners","downloads_all_time","hex_updated_at","hex_inserted_at","inserted_at"
"acrostic","https://hex.pm/packages/acrostic","A pure Gleam implementation of Google Protobuf.","['Apache-2.0']","https://github.com/julywind168/acrostic","[]",92,"2025-01-13T16:53:08.170Z","2024-11-14T06:27:24.745Z","2025-01-16T14:10:13.352Z"
"act","https://hex.pm/packages/act","Compose stateful actions to simulate mutable state","['Apache-2.0']","https://github.com/MystPi/act","[]",316,"2024-06-06T12:14:12.862Z","2024-03-24T19:41:08.497Z","2024-07-02T23:44:27.969Z"
"adglent","https://hex.pm/packages/adglent","Advent of code helper - automating setup of tests, solution template and problem input","['Apache-2.0']","https://github.com/JohnBjrk/adglent","[]",2039,"2024-11-08T07:39:02.183Z","2023-10-28T19:49:20.582Z","2024-11-11T11:38:11.925Z"
"ag_html","https://hex.pm/packages/ag_html","A Gleam library for building HTML strings usings functions.","['MIT']","https://github.com/avdgaag/gleam_ag_html","[]",103,"2022-11-26T15:39:40.358Z","2022-11-26T15:39:39.638Z","2024-07-03T02:01:22.995Z"
"aham","https://hex.pm/packages/aham","Build multilingual Gleam applications","['BSL-1.0']","https://github.com/salif/aham","[]",14,"2024-07-22T11:55:58.311Z","2024-07-22T11:55:55.925Z","2024-07-25T06:26:38.998Z"
"akaridb","https://hex.pm/packages/akaridb","Database migration manager","['Apache-2.0']","","[]",10,"2024-08-11T05:06:13.002Z","2024-08-11T05:06:09.561Z","2024-08-13T20:33:55.660Z"
"alpaca","https://hex.pm/packages/alpaca","A library for caching deterministic calculations in Gleam","['MIT']","https://github.com/mscharley/alpaca","[]",0,"2024-07-11T13:38:20.307Z","2024-07-11T12:39:40.683Z","2024-07-11T15:48:13.032Z"
"amber","https://hex.pm/packages/amber","✨🦕 Deno Bindings For Gleam 🧡","['Apache-2.0']","https://github.com/han-tyumi/amber","[]",156,"2024-12-30T23:14:47.864Z","2024-10-21T01:48:52.570Z","2025-01-04T09:09:11.333Z"
"amf0","https://hex.pm/packages/amf0","Amf0 (de)serialisation for Gleam","['Apache-2.0','MIT']","https://github.com/jamesbirtles/gleam-amf0","[]",77,"2023-10-31T18:41:48.604Z","2023-10-31T18:41:48.604Z","2024-07-03T01:08:19.885Z"
"amnesiac","https://hex.pm/packages/amnesiac","Gleam bindings to mnesia","['Apache-2.0']","https://github.com/VioletBuse/amnesiac","[]",58,"2024-06-15T16:06:58.509Z","2024-06-14T19:53:19.498Z","2024-07-02T23:38:08.953Z"
"ansel","https://hex.pm/packages/ansel","A simple and fast vips image processing library for Gleam!","['Apache-2.0']","https://github.com/tinybackup/ansel","[]",18,"2024-10-14T17:51:16.604Z","2024-10-14T17:51:14.226Z","2024-10-17T16:55:27.158Z"
"antigone","https://hex.pm/packages/antigone","Argon2 password hashing for Gleam.","['Apache-2.0']","https://github.com/lpil/antigone","[]",281,"2024-04-18T17:37:07.531Z","2024-03-25T22:27:56.845Z","2024-07-03T00:07:38.601Z"
"aoc_2024","https://hex.pm/packages/aoc_2024","Solutions for 2024's Advent of Code","['GPL-3.0-or-later']","https://github.com/tiborpilz/aoc_2024","[]",18,"2024-12-21T19:04:23.898Z","2024-12-21T19:04:21.097Z","2024-12-26T09:24:25.997Z"
"aonyx_graph","https://hex.pm/packages/aonyx_graph","A graph library. Including path finding.","['MIT']","https://github.com/aonyxrocks/aonyx_graph","[]",112,"2025-05-02T18:33:22.247Z","2025-04-20T22:19:40.906Z","2025-05-02T23:56:37.625Z"
"apollo","https://hex.pm/packages/apollo","a simple type safe validator","['MIT']","https://github.com/endercheif/apollo","[]",125,"2023-08-11T23:47:52.994Z","2023-08-11T22:07:19.417Z","2024-07-03T01:22:40.210Z"
"aragorn2","https://hex.pm/packages/aragorn2","Secure password hashing, powered by Argon2","['MIT']","https://github.com/maxdeviant/aragorn2","[]",121,"2024-05-30T03:58:24.540Z","2024-05-27T21:07:07.418Z","2024-07-02T23:48:37.764Z"
"arcana_signals","https://hex.pm/packages/arcana_signals","Gleam bindings to @preact/signals-core that won't crash in Erlang","['Apache-2.0']","https://github.com/synecdokey/arcana_signals","[]",84,"2024-03-27T21:51:48.605Z","2024-03-16T22:52:24.991Z","2024-07-03T00:18:18.879Z"
"arctic","https://hex.pm/packages/arctic","A friendly web framework for fast response times and a lightweight or serverless backend, written in Gleam!","['Apache-2.0']","https://github.com/RyanBrewer317/arctic","[]",2084,"2025-04-07T06:28:49.489Z","2024-08-03T11:44:52.615Z","2025-04-09T08:51:48.645Z"
"arctic_plugin_diagram","https://hex.pm/packages/arctic_plugin_diagram","An Arctic plugin for generating latex diagrams!","['Apache-2.0']","https://github.com/RyanBrewer317/arctic_plugin_diagram","[]",34,"2024-10-22T00:56:27.261Z","2024-10-19T23:05:46.651Z","2024-10-24T02:40:55.035Z"
"argamak","https://hex.pm/packages/argamak","A tensor library for the Gleam programming language","['Apache-2.0']","https://github.com/tynanbe/argamak","[]",509,"2024-02-18T00:04:55.054Z","2022-01-21T05:34:26.192Z","2024-07-03T00:43:02.957Z"
"argus","https://hex.pm/packages/argus","Argon2 password hashing library for Gleam, based on the reference C implementation.","['MIT']","https://github.com/Pevensie/argus","[]",216,"2024-09-23T18:15:55.867Z","2024-07-14T17:41:43.786Z","2024-09-25T12:15:48.198Z"
"argv","https://hex.pm/packages/argv","A cross platform library for getting the command line arguments","['Apache-2.0']","https://github.com/lpil/argv","[]",24364,"2024-03-22T18:40:40.209Z","2023-12-22T19:10:05.081Z","2024-07-03T00:21:11.887Z"
"ask","https://hex.pm/packages/ask","Functional utilities for building custom predicates, orderings, and equivalences","['MIT']","https://github.com/furrycatherder/gleam-ask","[]",138,"2024-04-22T14:53:30.384Z","2024-04-20T15:48:07.919Z","2024-07-03T00:06:16.613Z"
"asterix","https://hex.pm/packages/asterix","A gleam library by Asterix Technology","['Apache-2.0']","https://github.com/asterixxtech/asterix-gleam","[]",28,"2024-06-11T12:25:00.357Z","2024-06-11T12:24:57.202Z","2024-07-02T23:42:13.583Z"
"atomb","https://hex.pm/packages/atomb","An Atom feed builder for Gleam","['Apache-2.0']","https://github.com/lpil/atomb","[]",24,"2025-03-25T16:23:12.366Z","2025-03-25T16:23:10.004Z","2025-03-27T11:42:52.514Z"
"atomic_array","https://hex.pm/packages/atomic_array","Atomic mutable int arrays for Gleam!","['Apache-2.0']","https://github.com/lpil/atomic-array","[]",8,"2024-07-25T17:17:04.462Z","2024-07-25T17:17:01.860Z","2024-07-26T13:19:07.761Z"
